Transaction ID,Transaction Date,Transaction Time,Store #,Store Name,Store City,Store State,Region,Register #,Cashier ID,Customer ID,Customer Age Group,Loyalty Member?,Loyalty Tier,Sales Channel,Order Source,SKU,Style #,Product Name,Department,Category,Sub-Category,Brand,Gender / Fit,Size,Color,Material,Season,Collection,Quantity,List Price ($),Unit Selling Price ($),Markdown %,Promotion Code,Gross Sales ($),Discount Amount ($),Net Sales ($),COGS ($),Gross Profit ($),Gross Margin %,Tax Rate %,Sales Tax ($),Shipping Fee ($),Total Collected ($),Payment Method,Return Flag,Return Amount ($),Inventory Location,Stock On Hand After Sale,Receipt Notes
TXN-GRC-100001,2025-08-24,18:10:00,103,Fresh Market,Syracuse,NY,North-East,REG-04,EMP-543,CUST-214455,65+,Yes,Platinum,Curbside,Android App,SKU-FOOD-8864,BC-05,Ribeye Steak 12oz,Meat,Beef,Steaks,Butcher's Choice,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,15.99,15.99,0.00,N/A,15.99,0.00,15.99,8.50,7.49,46.84,4.00,0.64,0.00,16.63,Cash,No,0.00,Aisle 17,141,
TXN-GRC-100002,2025-09-07,10:17:00,103,Fresh Market,Syracuse,NY,North-East,REG-02,EMP-530,CUST-210629,18-24,Yes,Bronze,In-Store,POS,SKU-FOOD-3949,GL-01,Organic Spinach,Produce,Vegetables,Leafy Greens,GreenLeaf,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,3.99,3.59,10.00,SAVE10,3.59,0.40,3.59,1.20,2.39,66.57,4.00,0.14,0.00,3.73,Apple Pay,No,0.00,Aisle 7,143,
TXN-GRC-100003,2024-08-19,06:14:00,101,Fresh Market,Rochester,NY,North-East,REG-03,EMP-510,CUST-283227,18-24,No,None,In-Store,Website,SKU-FOOD-2171,CS-09,Vanilla Bean Pint,Frozen,Ice Cream,Pints,ColdScoop,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,3,6.25,6.25,0.00,N/A,18.75,0.00,18.75,9.00,9.75,52.00,4.00,0.75,0.00,19.50,Apple Pay,No,0.00,Aisle 7,47,
TXN-GRC-100004,2025-02-22,12:48:00,103,Fresh Market,Syracuse,NY,North-East,REG-01,EMP-530,CUST-214542,35-44,Yes,Silver,Online,Website,SKU-FOOD-8970,CS-09,Vanilla Bean Pint,Frozen,Ice Cream,Pints,ColdScoop,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,6.25,6.25,0.00,N/A,6.25,0.00,6.25,3.00,3.25,52.00,4.00,0.25,0.00,6.50,EBT,No,0.00,Aisle 10,102,
TXN-GRC-100005,2024-03-07,05:00:00,101,Fresh Market,Rochester,NY,North-East,REG-02,EMP-536,CUST-204902,55-64,Yes,Silver,Online,Android App,SKU-FOOD-2391,AO-22,Fresh Sourdough Loaf,Bakery,Bread,Sourdough,Artisan Oven,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,5.49,5.49,0.00,N/A,10.98,0.00,10.98,3.60,7.38,67.21,4.00,0.44,0.00,11.42,EBT,No,0.00,Aisle 16,105,
TXN-GRC-100006,2025-04-07,00:54:00,103,Fresh Market,Syracuse,NY,North-East,REG-06,EMP-538,CUST-216050,35-44,Yes,Silver,Online,POS,SKU-FOOD-5358,GL-01,Organic Spinach,Produce,Vegetables,Leafy Greens,GreenLeaf,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,3,3.99,3.99,0.00,N/A,11.97,0.00,11.97,3.60,8.37,69.92,4.00,0.48,0.00,12.45,Visa,No,0.00,Aisle 17,188,
TXN-GRC-100007,2025-02-01,14:19:00,103,Fresh Market,Syracuse,NY,North-East,REG-01,EMP-539,CUST-235441,25-34,Yes,Gold,Curbside,Website,SKU-FOOD-9194,FZ-01,12-Pack Cola,Beverages,Soda,Cola,FizzCo,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,3,7.99,7.99,0.00,N/A,23.97,0.00,23.97,12.00,11.97,49.94,4.00,0.96,0.00,24.93,Mastercard,No,0.00,Aisle 12,56,
TXN-GRC-100008,2025-05-26,10:29:00,101,Fresh Market,Rochester,NY,North-East,REG-08,EMP-510,CUST-234631,18-24,Yes,Gold,In-Store,Android App,SKU-FOOD-4563,DP-10,Gallon Whole Milk,Dairy,Milk & Cream,Whole Milk,DairyPure,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,1,4.50,4.50,0.00,N/A,4.50,0.00,4.50,2.10,2.40,53.33,4.00,0.18,0.00,4.68,Visa,No,0.00,Aisle 2,163,
TXN-GRC-100009,2024-01-30,14:47:00,103,Fresh Market,Syracuse,NY,North-East,REG-04,EMP-533,CUST-223713,35-44,No,None,Online,Android App,SKU-FOOD-2840,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,4,1.89,1.89,0.00,N/A,7.56,0.00,7.56,2.40,5.16,68.25,4.00,0.30,0.00,7.86,Cash,No,0.00,Aisle 5,34,
TXN-GRC-100010,2025-01-24,17:51:00,101,Fresh Market,Rochester,NY,North-East,REG-05,EMP-505,CUST-258774,25-34,No,None,BOPIS,iOS App,SKU-FOOD-1652,BI-14,Penne Rigate 16oz,Pantry,Pasta,Dry Pasta,BellaItalia,N/A,N/A,N/A,Fresh/Packaged,Year-Round,Pantry Essentials,2,1.89,1.89,0.00,N/A,3.78,0.00,3.78,1.20,2.58,68.25,4.00,0.15,0.00,3.93,AmEx,No,0.00,Aisle 9,122,
