Date,Transaction_ID,Client_Name,Region,Product_Category,Service_Line,Unit_Price,Quantity,Gross_Revenue,Discount_Rate,Net_Revenue,COGS_Percent,COGS_Amount,Marketing_Spend,Fixed_Costs,Operating_Expenses,EBITDA,EBITDA_Margin,Tax_Rate,Net_Profit
2024-02-17,TXN-1000,Omega Energy,APAC,Consulting,Implementation,166.52,99,16485.36,13.64%,14237.26,40.48%,5763.51,1337.11,648.59,1985.70,6488.05,45.57%,21%,5125.56
2021-02-01,TXN-1001,GlobalCorp,EMEA,Support,Maintenance,109.50,8,875.97,1.02%,867.04,35.40%,306.97,73.29,547.00,620.29,-60.22,-6.95%,21%,-47.58
2026-11-10,TXN-1002,Alpha Logistics,APAC,Software,Strategy Audit,150.29,17,2554.92,6.13%,2398.34,35.93%,861.64,261.69,624.80,886.49,650.21,27.11%,21%,513.67
2020-02-15,TXN-1003,Peak Finance,EMEA,Software,Implementation,163.19,44,7180.25,13.41%,6217.06,41.52%,2581.32,612.85,533.29,1146.14,2489.60,40.04%,21%,1966.78
2021-06-11,TXN-1004,Alpha Logistics,LATAM,Consulting,Cloud Hosting,510.84,71,36269.87,0.84%,35966.48,39.37%,14160.63,4220.07,625.50,4845.57,16960.28,47.16%,21%,13398.62
2024-02-16,TXN-1005,Nexus Health,LATAM,Support,SaaS Subscription,288.64,11,3175.02,5.82%,2990.30,33.29%,995.38,236.52,633.05,869.57,1125.34,37.63%,21%,889.02
2024-05-04,TXN-1006,TechNova,EMEA,Software,Cloud Hosting,436.22,44,19193.84,13.87%,16532.52,46.96%,7764.30,1990.48,687.59,2678.07,6090.15,36.84%,21%,4811.22
2020-03-24,TXN-1007,BlueSky Retail,EMEA,Hardware,Implementation,347.48,55,19111.16,12.56%,16711.43,40.43%,6756.03,2165.70,623.26,2788.96,7166.44,42.88%,21%,5661.49
2025-10-24,TXN-1008,Alpha Logistics,LATAM,Software,Strategy Audit,86.68,80,6934.36,1.32%,6842.87,40.72%,2786.17,972.28,624.38,1596.67,2460.03,35.95%,21%,1943.42
2023-03-19,TXN-1009,Starlight Media,EMEA,Consulting,Cloud Hosting,359.45,53,19050.79,5.15%,18068.97,40.54%,7325.82,1376.25,511.44,1887.69,8855.46,49.01%,21%,6995.81
2020-05-15,TXN-1010,Starlight Media,LATAM,Software,Maintenance,404.82,43,17407.11,11.15%,15466.40,38.16%,5901.39,1989.26,572.95,2562.21,7002.79,45.28%,21%,5532.20
2020-04-08,TXN-1011,Starlight Media,EMEA,Hardware,Strategy Audit,174.40,45,7847.86,1.12%,7759.79,37.01%,2872.00,1138.38,650.90,1789.28,3098.51,39.93%,21%,2447.82
2020-05-04,TXN-1012,Peak Finance,North America,Consulting,Implementation,198.04,8,1584.33,10.72%,1414.43,31.90%,451.25,96.05,515.05,611.10,352.08,24.89%,21%,278.14
2023-05-21,TXN-1013,Omega Energy,APAC,Software,Cloud Hosting,109.18,90,9826.04,13.73%,8477.27,32.43%,2749.35,1191.56,614.76,1806.32,3921.59,46.26%,21%,3098.06
2021-11-20,TXN-1014,Alpha Logistics,APAC,Support,Implementation,334.75,80,26779.73,3.62%,25811.56,38.63%,9972.17,3138.12,573.82,3711.94,12127.45,46.98%,21%,9580.69
2022-07-27,TXN-1015,Nexus Health,LATAM,Hardware,Strategy Audit,145.97,82,11969.87,1.29%,11815.12,31.03%,3666.61,1457.69,514.33,1972.02,6176.50,52.28%,21%,4879.43
2024-06-02,TXN-1016,BlueSky Retail,LATAM,Hardware,SaaS Subscription,253.54,54,13690.89,3.20%,13253.45,46.05%,6103.26,1234.04,575.14,1809.18,5341.01,40.30%,21%,4219.40
2024-01-14,TXN-1017,BlueSky Retail,APAC,Support,Strategy Audit,538.88,52,28021.79,13.62%,24204.74,30.56%,7396.20,2537.12,634.48,3171.60,13636.93,56.34%,21%,10773.18
2020-05-09,TXN-1018,GlobalCorp,North America,Support,Implementation,494.73,33,16325.93,5.02%,15506.62,45.68%,7083.56,1130.02,551.97,1681.99,6741.07,43.47%,21%,5325.45
2020-09-17,TXN-1019,Alpha Logistics,North America,Consulting,Strategy Audit,403.83,79,31902.64,5.07%,30286.16,46.22%,13999.17,4448.11,625.57,5073.68,11213.31,37.02%,21%,8858.51
2022-11-04,TXN-1020,BlueSky Retail,LATAM,Software,Implementation,234.27,83,19444.24,12.25%,17062.70,33.25%,5673.18,2398.21,698.70,3096.92,8292.60,48.60%,21%,6551.16
2024-08-15,TXN-1021,Peak Finance,LATAM,Consulting,SaaS Subscription,162.32,81,13148.26,2.26%,12851.47,43.95%,5648.53,1691.19,523.69,2214.89,4988.06,38.81%,21%,3940.57
2025-03-28,TXN-1022,Omega Energy,LATAM,Consulting,Cloud Hosting,401.00,69,27669.22,0.47%,27539.65,46.34%,12761.22,3878.08,563.55,4441.63,10336.80,37.53%,21%,8166.07
2020-02-08,TXN-1023,Peak Finance,LATAM,Support,Implementation,461.91,25,11547.83,7.37%,10696.80,41.93%,4485.35,1326.34,591.18,1917.53,4293.93,40.14%,21%,3392.20
2024-01-22,TXN-1024,Omega Energy,EMEA,Consulting,SaaS Subscription,205.03,100,20502.94,10.91%,18266.77,31.08%,5676.73,1187.97,605.07,1793.04,10797.00,59.11%,21%,8529.63
2020-01-07,TXN-1025,GlobalCorp,LATAM,Consulting,Maintenance,371.92,100,37191.61,10.60%,33248.27,46.13%,15337.90,4291.36,566.80,4858.17,13052.21,39.26%,21%,10311.25
2025-06-24,TXN-1026,Omega Energy,LATAM,Software,Cloud Hosting,497.66,65,32347.96,3.99%,31058.33,33.44%,10385.81,4616.82,555.13,5171.95,15500.57,49.91%,21%,12245.45
2023-07-20,TXN-1027,BlueSky Retail,EMEA,Support,Strategy Audit,278.39,33,9186.87,1.95%,9007.52,39.00%,3512.94,949.14,592.36,1541.50,3953.09,43.89%,21%,3122.94
2025-07-15,TXN-1028,Alpha Logistics,APAC,Support,SaaS Subscription,528.52,66,34881.99,13.06%,30326.89,49.28%,14945.18,3463.08,670.85,4133.93,11247.79,37.09%,21%,8885.75
2021-07-02,TXN-1029,TechNova,APAC,Consulting,Strategy Audit,86.16,61,5255.71,7.59%,4856.88,38.61%,1875.21,547.88,686.65,1234.53,1747.14,35.97%,21%,1380.24
2022-04-06,TXN-1030,BlueSky Retail,North America,Hardware,Strategy Audit,124.24,84,10436.05,0.87%,10345.72,38.13%,3944.79,982.07,551.90,1533.97,4866.96,47.04%,21%,3844.90
2020-04-15,TXN-1031,Nexus Health,LATAM,Hardware,Maintenance,148.04,7,1036.31,4.74%,987.16,41.23%,407.01,114.09,573.32,687.41,-107.26,-10.87%,21%,-84.74
2023-09-12,TXN-1032,Starlight Media,APAC,Consulting,Cloud Hosting,138.74,15,2081.06,10.56%,1861.28,37.01%,688.91,193.27,552.14,745.41,426.97,22.94%,21%,337.31
2024-02-11,TXN-1033,Nexus Health,North America,Support,Cloud Hosting,114.07,67,7642.81,7.81%,7045.79,47.98%,3380.26,712.08,525.73,1237.81,2427.71,34.46%,21%,1917.89
2022-10-26,TXN-1034,TechNova,LATAM,Hardware,SaaS Subscription,346.84,35,12139.53,5.27%,11499.86,32.06%,3686.43,664.49,684.97,1349.47,6463.96,56.21%,21%,5106.53
2022-11-02,TXN-1035,TechNova,APAC,Hardware,Maintenance,536.32,70,37542.06,10.91%,33445.74,40.61%,13582.72,4332.89,561.70,4894.59,14968.44,44.75%,21%,11825.07
2022-10-26,TXN-1036,Alpha Logistics,LATAM,Hardware,SaaS Subscription,415.86,23,9564.87,13.19%,8303.73,43.93%,3647.49,779.14,686.08,1465.21,3191.03,38.43%,21%,2520.91
2020-10-09,TXN-1037,Starlight Media,APAC,Support,SaaS Subscription,131.73,96,12645.76,1.93%,12401.95,41.30%,5122.44,1456.55,534.11,1990.65,5288.85,42.65%,21%,4178.19
2021-09-07,TXN-1038,Omega Energy,APAC,Consulting,Implementation,142.38,9,1281.40,9.05%,1165.39,46.58%,542.88,133.48,631.69,765.17,-142.65,-12.24%,21%,-112.69
2021-04-11,TXN-1039,Omega Energy,LATAM,Hardware,Cloud Hosting,411.16,33,13568.32,12.14%,11920.53,34.60%,4124.92,989.32,532.80,1522.12,6273.49,52.63%,21%,4956.06
